point_id,sex,age,age.group,dob,lat,long,region,bread,furniture,footwear,clothing,meal,group,frozen,prank,gum,walkway,foot.cut,class.farce,for.more,sauce.source,one.gone,book.spook,fur.bear,pour.poor,eight.ate,singer.finger,mute.moot,spa.spar,thin.fin,give.it.me,I.done.it,look.at.them,things.what,not.got.it,you.was,neither.me
232,male,48,41 to 60,1966,53.812966226039606,-1.73417170507082,Yorkshire and The Humber,bap,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,rhyme,don't rhyme,same,same,rhyme,different,same,different,c,c,NA,c,NA,c,NA
233,female,46,41 to 60,1968,53.81540903841732,-1.7147622967269354,Yorkshire and The Humber,tea cake,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,c,NA,b,NA,b,NA
234,female,20,< 20,1993,51.54103185264173,-0.07096228522716311,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,a,a,a,a,NA,NA,NA
235,female,45,41 to 60,1969,53.809231860638874,-1.740373073311483,Yorkshire and The Humber,tea cake,sofa,NA,pants,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,different,b,c,NA,a,NA,b,NA
236,male,54,41 to 60,1959,51.58938642901855,-1.8231683317383696,South West,muffin,NA,pumps,"pants, trousers",dinner,yous,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,rhyme,don't rhyme,different,different,don't rhyme,different,same,NA,a,a,a,a,NA,NA,NA
237,female,51,41 to 60,1963,53.81620568716524,-1.7254430194352874,Yorkshire and The Humber,tea cake,settee,NA,pants,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,different,a,c,NA,a,NA,c,NA
238,male,24,21 to 40,1989,51.51899105343193,-2.346817050828114,South West,roll,NA,daps,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,c,d,c,NA,NA,NA
239,male,62,61 to 80,1952,53.88721622920701,-1.8352613125022312,Yorkshire and The Humber,bread cake,sofa,NA,trousers,dinner,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,different,c,d,NA,a,NA,c,NA
240,female,21,21 to 40,1992,51.547461604663546,-0.1431545409251223,London,roll,NA,pumps,trousers,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,b,d,c,NA,NA,NA
241,male,27,21 to 40,1987,53.879973944490104,-1.846576947528367,Yorkshire and The Humber,tea cake,sofa,NA,"pants, trousers",tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,b,c,NA,d,NA,a,NA
242,female,23,21 to 40,1990,51.55937994882416,-0.20064853256527185,London,tea cake,NA,pumps,"pants, trousers","dinner, supper",you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,b,b,b,NA,NA,NA
243,female,46,41 to 60,1968,53.91852822619189,-2.054260676242704,Yorkshire and The Humber,bap,sofa,NA,trousers,supper,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,a,a,NA,a,NA,a,NA
244,male,31,21 to 40,1983,53.88607908197292,-2.010364081769509,Yorkshire and The Humber,tea cake,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,different,c,c,NA,c,NA,c,NA
245,male,30,21 to 40,1984,53.831216797690466,-1.912127878041891,Yorkshire and The Humber,bap,sofa,NA,trousers,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,d,d,NA,a,NA,a,NA
246,male,23,21 to 40,1990,51.479439325287345,-0.28361887234558897,London,roll,NA,plimsolls,pants,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,e,a,c,d,NA,NA,NA
247,male,31,21 to 40,1982,51.64632459521035,-0.5021665918349506,East of England,bap,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,c,NA,NA,NA
248,female,71,61 to 80,1943,53.837508757002574,-1.921704622672467,Yorkshire and The Humber,tea cake,sofa,NA,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,different,don't rhyme,different,same,different,b,b,NA,b,NA,b,NA
249,female,65,61 to 80,1949,53.83521927254867,-1.9195179569792675,Yorkshire and The Humber,bap,settee,NA,trousers,"dinner, tea",you lot,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,b,NA,b,NA,a,NA
250,female,18,< 20,1996,53.849685510239155,-1.9157219314560974,Yorkshire and The Humber,bun,sofa,NA,trousers,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,same,b,c,NA,c,NA,c,NA
251,female,21,21 to 40,1992,51.5834256821211,-0.3852405187370599,London,bun,NA,pumps,other (joggers),dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,e,c,c,c,NA,NA,NA
252,female,62,61 to 80,1952,53.8240372820736,-1.9220219788708386,Yorkshire and The Humber,tea cake,settee,NA,trousers,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,rhyme,don't rhyme,same,different,don't rhyme,different,same,different,a,b,NA,a,NA,b,NA
253,female,34,21 to 40,1980,53.827873554678376,-1.920776474024362,Yorkshire and The Humber,tea cake,couch,NA,trousers,tea,yous,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,a,b,NA,a,NA,b,NA
254,female,57,41 to 60,1957,53.83234610426466,-1.9871480449226488,Yorkshire and The Humber,tea cake,settee,NA,trousers,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,different,different,don't rhyme,different,same,same,d,d,NA,d,NA,c,NA
255,male,19,< 20,1995,53.89817981047316,-2.0817379221111922,Yorkshire and The Humber,tea cake,sofa,NA,pants,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,same,a,b,NA,b,NA,a,NA
256,female,19,< 20,1994,51.505604819784985,-2.595773999356222,South West,roll,NA,pumps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,NA,a,b,b,a,NA,NA,NA
257,female,19,< 20,1994,51.58637687223884,-0.4389287135483974,London,roll,NA,pumps,trousers,"dinner, tea","you, you guys, yous",NA,NA,NA,NA,rhyme,NA,don't rhyme,NA,don't rhyme,rhyme,rhyme,different,different,rhyme,same,different,NA,d,d,d,d,NA,NA,NA
258,male,71,61 to 80,1943,53.81727718093465,-2.044078613342736,Yorkshire and The Humber,tea cake,settee,NA,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,different,e,e,NA,c,NA,c,NA
259,female,19,< 20,1994,51.59240829320045,-0.24159946611028021,London,roll,NA,plimsolls,trousers,dinner,yous,NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
260,female,28,21 to 40,1985,51.58981713084559,-0.13034183915867642,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,e,NA,NA,NA
261,female,34,21 to 40,1980,53.85161244263538,-2.00735720143761,Yorkshire and The Humber,tea cake,settee,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,different,c,e,NA,b,NA,a,NA
262,female,46,41 to 60,1967,51.58074841706092,-0.08083883901078893,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,same,same,NA,d,d,d,d,NA,NA,NA
263,female,32,21 to 40,1982,53.81536566122606,-1.9924206157504536,Yorkshire and The Humber,tea cake,sofa,NA,trousers,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,different,b,b,NA,b,NA,b,NA
264,male,20,< 20,1993,51.59813660367441,0.028328050754379972,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
265,female,46,41 to 60,1968,53.90030429253713,-2.067572100975681,Yorkshire and The Humber,tea cake,couch,NA,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,don't rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,different,a,e,NA,a,NA,e,NA
266,male,19,< 20,1994,51.59777953739852,-0.6954504401982804,South East,roll,NA,plimsolls,trousers,dinner,"you guys, you lot, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,b,b,e,NA,NA,NA
267,male,32,21 to 40,1982,54.02756177294094,-2.1047417724062045,Yorkshire and The Humber,roll,sofa,NA,trousers,dinner,you,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,c,NA,c,NA,c,NA
268,male,21,21 to 40,1992,51.65524275469008,0.30867809655043543,East of England,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,b,c,NA,NA,NA
269,female,20,< 20,1993,51.604189579059245,-0.33061029204321435,London,roll,NA,pumps,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,a,b,a,c,NA,NA,NA
270,male,18,< 20,1996,54.231898787810074,-2.215651207645719,Yorkshire and The Humber,bap,sofa,NA,pants,dinner,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,same,same,same,a,e,NA,c,NA,d,NA
271,female,19,< 20,1995,54.1931062975096,-2.0815716024228195,Yorkshire and The Humber,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,b,c,NA,b,NA,b,NA
272,female,40,21 to 40,1974,53.801488808815115,-1.7481447730008055,Yorkshire and The Humber,"bap, tea cake",sofa,NA,pants,tea,you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,different,different,rhyme,same,same,same,b,c,NA,c,NA,c,NA
273,female,19,< 20,1994,51.62615917823723,-0.28203574908955514,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
274,female,42,41 to 60,1972,53.79023013143939,-1.7211260795981338,Yorkshire and The Humber,tea cake,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,different,a,d,NA,b,NA,c,NA
275,male,68,61 to 80,1946,53.77257920373427,-1.6903022478636816,Yorkshire and The Humber,bun,settee,NA,trousers,"dinner, supper",you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,rhyme,don't rhyme,same,same,don't rhyme,different,same,same,d,b,NA,b,NA,b,NA
276,female,42,41 to 60,1971,51.62484055771517,0.02772481993418711,East of England,bap,NA,pumps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,b,c,NA,NA,NA
277,male,37,21 to 40,1977,53.763284608920515,-1.8067964719524536,Yorkshire and The Humber,tea cake,couch,NA,pants,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,different,b,b,NA,b,NA,b,NA
278,female,21,21 to 40,1992,51.61492303608124,-2.424735283995655,South West,roll,NA,daps,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,c,c,b,c,NA,NA,NA
279,male,28,21 to 40,1985,51.612586248320106,-3.9029031508921803,Wales,bun,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,rhyme,don't rhyme,same,same,rhyme,different,different,NA,e,e,c,e,NA,NA,NA
280,female,20,< 20,1994,53.79193357499211,-1.8042528065142749,Yorkshire and The Humber,"bap, tea cake",sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,different,different,c,b,NA,c,NA,d,NA
281,male,19,< 20,1994,51.64025433470909,-0.14605810723773216,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,same,same,NA,d,d,d,e,NA,NA,NA
282,male,33,21 to 40,1981,53.81052574511567,-1.7627386471870432,Yorkshire and The Humber,bun,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,rhyme,same,same,rhyme,different,same,different,c,b,NA,c,NA,b,NA
283,female,21,21 to 40,1992,51.59230171450618,-0.40297938307878606,London,roll,NA,pumps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,d,d,NA,NA,NA
284,female,21,21 to 40,1992,51.65669731164492,-0.5597486351160247,South East,bap,NA,pumps,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,c,d,NA,NA,NA
285,female,49,41 to 60,1965,53.818544190383626,-1.808706492306628,Yorkshire and The Humber,tea cake,sofa,NA,trousers,dinner,you,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,c,NA,e,NA,e,NA
286,male,14,< 20,1999,51.572419133849685,-0.03136051455906465,London,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,c,b,d,NA,NA,NA
287,male,55,41 to 60,1959,50.769637908629996,-1.9342041204053673,South West,bun,settee,NA,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,same,e,e,NA,a,NA,a,NA
288,male,29,21 to 40,1984,51.63862866680486,-1.313145126134445,South East,roll,NA,plimsolls,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,d,NA,NA,NA
289,male,33,21 to 40,1981,50.75004718633579,-1.939652950375685,South West,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,different,different,d,d,NA,e,NA,d,NA
290,female,19,< 20,1994,51.66023767598542,-0.07901555844465041,London,roll,NA,plimsolls,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,b,c,e,NA,NA,NA
291,female,21,21 to 40,1993,50.741206915205424,-1.9450176961444436,South West,roll,sofa,NA,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,different,different,c,c,NA,d,NA,d,NA
292,male,22,21 to 40,1991,51.5721469564586,-2.9527987410471215,Wales,roll,NA,daps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,different,don't rhyme,different,same,NA,e,b,b,d,NA,NA,NA
293,female,61,61 to 80,1953,50.72846618564298,-1.9443663239675555,South West,bap,settee,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,e,NA,e,NA,e,NA
294,male,20,< 20,1993,51.63641913811916,-2.637467404065791,Wales,roll,NA,other (shoes),trousers,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,d,c,d,NA,NA,NA
295,female,41,41 to 60,1973,50.715346372678695,-1.9773388230249296,South West,roll,sofa,NA,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,same,different,b,a,NA,a,NA,b,NA
296,female,20,< 20,1993,51.59301778771233,-0.38204545092746284,London,roll,NA,plimsolls,trousers,"dinner, tea",you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,same,same,NA,a,b,b,d,NA,NA,NA
297,female,42,41 to 60,1972,50.739074816293986,-2.0167610487952623,South West,"bap, roll",sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,d,c,NA,c,NA,c,NA
298,male,20,< 20,1993,51.70852394337665,-1.143973582903258,South East,roll,NA,plimsolls,trousers,tea,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,same,same,NA,d,a,a,d,NA,NA,NA
299,male,19,< 20,1994,51.75045541742153,-3.947767738938983,Wales,bap,NA,pumps,pants,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,different,different,don't rhyme,different,same,NA,a,a,a,a,NA,NA,NA
300,male,51,41 to 60,1962,51.726203104252036,-0.8102710797865298,South East,bap,NA,plimsolls,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,c,NA,NA,NA
301,male,60,41 to 60,1954,50.607326923228136,-2.036946609552072,South West,roll,settee,NA,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,c,NA,e,NA,e,NA
302,female,20,< 20,1993,51.66009171685315,0.5031973890443192,East of England,muffin,NA,daps,other (chinos),dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,a,c,a,a,NA,NA,NA
303,female,22,21 to 40,1992,50.673634543123526,-2.0832616008886613,South West,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,b,NA,c,NA,b,NA
304,female,20,< 20,1993,51.716473522044225,-0.46464194503473144,East of England,roll,NA,other (trainers),other (jeans),dinner,"you guys, you lot, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,same,same,NA,c,c,c,c,NA,NA,NA
305,female,37,21 to 40,1977,50.73112884195694,-2.124803046951836,South West,bap,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,b,NA,d,NA,d,NA
306,male,19,< 20,1995,50.89948717350526,-1.9782389853719453,South West,bun,settee,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,different,different,e,d,NA,c,NA,e,NA
307,female,21,21 to 40,1992,51.801980165218424,0.3615085167875102,East of England,barm,NA,pumps,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,a,a,a,NA,NA,NA
308,male,55,41 to 60,1959,50.78669205756638,-1.7765086148670841,South West,roll,sofa,NA,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,d,d,NA,d,NA,d,NA
309,female,20,< 20,1993,51.733965368634074,-1.2240301338017463,South East,roll,NA,pumps,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,c,d,NA,NA,NA
310,female,32,21 to 40,1982,50.85896217706052,-1.7658640673925925,South East,"bap, roll",sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,same,same,different,c,c,NA,c,NA,b,NA
311,male,20,< 20,1993,51.78689179555205,-1.3106856285241186,South East,roll,NA,pumps,pants,tea,youn(s),NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,same,NA,d,a,a,d,NA,NA,NA
312,male,20,< 20,1994,50.72260834746817,-1.797558174788578,South West,roll,sofa,NA,trousers,tea,"you, you guys",NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,c,e,NA,c,NA,e,NA
313,male,22,21 to 40,1991,51.70757261635699,-1.2897821944787053,South East,"bap, bun, roll",NA,"plimsolls, pumps",trousers,dinner,"you guys, you lot, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,b,b,b,NA,NA,NA
314,male,18,< 20,1996,50.73638697341516,-1.8247365283745403,South West,bun,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,b,c,NA,b,NA,b,NA
315,female,23,21 to 40,1990,51.678172440068394,-0.5019182820764381,East of England,bun,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
316,female,49,41 to 60,1964,51.68147163535294,-3.689848309231246,Wales,cob,NA,daps,pants,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,different,different,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
317,female,31,21 to 40,1983,53.66272201111389,-2.297871310929101,North West,roll,sofa,NA,pants,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,b,b,NA,b,NA,b,NA
318,female,24,21 to 40,1989,51.703268528375,-3.818630728539982,Wales,bun,NA,pumps,trousers,tea,yous,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,different,different,don't rhyme,different,same,NA,b,a,a,a,NA,NA,NA
319,male,24,21 to 40,1989,51.7789103001592,-1.690115740558001,South East,roll,NA,plimsolls,trousers,tea,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,a,b,a,d,NA,NA,NA
320,female,37,21 to 40,1976,51.72978352020955,-1.2164547804222188,South East,roll,NA,plimsolls,trousers,tea,you,NA,NA,NA,NA,rhyme,NA,don't rhyme,NA,don't rhyme,don't rhyme,don't rhyme,different,different,rhyme,different,different,NA,b,c,c,c,NA,NA,NA
321,male,48,41 to 60,1966,53.58965595544193,-2.4846891127433532,North West,roll,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,rhyme,don't rhyme,different,same,rhyme,different,same,same,a,c,NA,d,NA,c,NA
322,female,47,41 to 60,1967,53.597209835728016,-2.452644818973122,North West,"bap, barm, roll","couch, settee, sofa",NA,trousers,tea,you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,rhyme,don't rhyme,same,same,rhyme,different,same,different,c,c,NA,c,NA,d,NA
323,female,20,< 20,1993,51.7258032491031,0.6462091619638942,East of England,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,b,b,NA,NA,NA
324,male,19,< 20,1995,53.59617491289019,-2.4557450591038834,North West,"bap, barm",sofa,NA,pants,"dinner, tea","you, you guys, you lot",NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,c,NA,c,NA,c,NA
325,female,47,41 to 60,1966,51.73711772503154,-2.2531957693524127,South West,roll,NA,daps,trousers,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,c,d,NA,NA,NA
